n. features, avg 5-fold RMSE, avg 5-fold r^2, usedFeatures 
2,0.0023132913231521564,0.4263807323919007,roomPerimeter-voronoi_traversal_rotation
5,0.0023333548272073505,0.4082437810150685,roomPerimeter-voronoi_std_katz_centrality-numRooms-voronoi_std_eigenvector_centrality-voronoi_traversal_rotation
3,0.002337477562143064,0.4565681489211027,roomPerimeter-numRooms-voronoi_traversal_rotation
1,0.002365579176410047,0.42001313137257795,voronoi_traversal_rotation
4,0.00237101435508985,0.48822036588664924,roomPerimeter-voronoi_std_katz_centrality-numRooms-voronoi_traversal_rotation
8,0.0023766624173203405,0.28480627942819636,voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-voronoi_std_katz_centrality-numRooms-topology_nodes-voronoi_std_eigenvector_centrality-voronoi_traversal_rotation
6,0.0023937514017830686,0.22907530874965015,voronoi_numTerminalPoints-roomPerimeter-voronoi_std_katz_centrality-numRooms-voronoi_std_eigenvector_centrality-voronoi_traversal_rotation
7,0.002437035638080721,0.3298342273007072,voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-voronoi_std_katz_centrality-numRooms-voronoi_std_eigenvector_centrality-voronoi_traversal_rotation
9,0.0026281400304500884,0.343980528946468,voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-numRooms-topology_nodes-voronoi_std_eigenvector_centrality-voronoi_traversal_rotation
18,0.0026899526466650225,0.19673519811362078,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-topology_edges-roomPerimeter-voronoi_std_katz_centrality-topology_std_betweenness_centrality-voronoi_density-numRooms-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-topology_nodes-voronoi_std_eigenvector_centrality-voronoi_avg_shortest_path_length-voronoi_edges-topology_avg_katz_centrality-topology_avg_eigenvector_centrality-voronoi_traversal_rotation
12,0.002702331344950771,0.05999718003966385,voronoi_numTerminalPoints-voronoi_nodes-topology_edges-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-numRooms-voronoi_avg_eigenvector_centrality-topology_nodes-voronoi_std_eigenvector_centrality-voronoi_edges-voronoi_traversal_rotation
33,0.002749098321293854,-0.6059779397570842,voronoi_traversal_distance-topology_diameter-voronoi_numTerminalPoints-voronoi_nodes-topology_edges-topology_std_closeness_centrality-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-topology_std_betweenness_centrality-voronoi_density-topology_density-topology_numBifurcationPoints-area-numRooms-topology_radius-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-topology_avg_closeness_centrality-topology_std_eigenvector_centrality-perimeter-topology_nodes-voronoi_std_eigenvector_centrality-voronoi_avg_shortest_path_length-voronoi_std_closeness_centrality-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-topology_avg_eigenvector_centrality-voronoi_radius-voronoi_traversal_rotation
10,0.0027518517601377106,0.3785890930159027,voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-numRooms-topology_nodes-voronoi_std_eigenvector_centrality-voronoi_edges-voronoi_traversal_rotation
14,0.002764351734377127,0.022960209177028144,voronoi_numTerminalPoints-voronoi_nodes-topology_edges-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-numRooms-voronoi_avg_eigenvector_centrality-topology_nodes-voronoi_std_eigenvector_centrality-voronoi_edges-topology_avg_katz_centrality-topology_avg_eigenvector_centrality-voronoi_traversal_rotation
