n. features, avg 5-fold RMSE, avg 5-fold r^2, usedFeatures 
5,7927.072168887174,0.759532822744353,voronoi_traversal_distance-roomPerimeter-area-voronoi_numBifurcationPoints-voronoi_edges
4,7984.7787555991845,0.7380044936678337,voronoi_traversal_distance-area-voronoi_numBifurcationPoints-voronoi_edges
6,8135.587450652229,0.7594875869466508,voronoi_traversal_distance-voronoi_nodes-roomPerimeter-area-voronoi_numBifurcationPoints-voronoi_edges
10,8188.878843981256,0.6547989398935632,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-voronoi_std_katz_centrality-area-voronoi_numBifurcationPoints-perimeter-voronoi_std_eigenvector_centrality-voronoi_edges
8,8223.338570101361,0.6465678629303885,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-area-voronoi_numBifurcationPoints-perimeter-voronoi_edges
24,8235.609721816994,0.6138907672143288,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-voronoi_density-topology_density-area-avgRoomPerimeter-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-perimeter-voronoi_std_eigenvector_centrality-avgRoomArea-voronoi_avg_shortest_path_length-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-topology_avg_eigenvector_centrality-voronoi_radius-voronoi_traversal_rotation
9,8297.622741672905,0.563660333601956,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-voronoi_std_katz_centrality-area-voronoi_numBifurcationPoints-voronoi_std_eigenvector_centrality-voronoi_edges
7,8436.19264658567,0.7035213681879912,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-area-voronoi_numBifurcationPoints-voronoi_edges
23,8605.87127156532,0.36446326160850917,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-voronoi_density-area-avgRoomPerimeter-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-perimeter-voronoi_std_eigenvector_centrality-avgRoomArea-voronoi_avg_shortest_path_length-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-topology_avg_eigenvector_centrality-voronoi_radius-voronoi_traversal_rotation
22,8734.519512801,0.6489411500600593,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-voronoi_density-area-avgRoomPerimeter-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-perimeter-voronoi_std_eigenvector_centrality-avgRoomArea-voronoi_avg_shortest_path_length-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-voronoi_radius-voronoi_traversal_rotation
21,9205.57859194597,0.5371445635877858,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-voronoi_density-area-avgRoomPerimeter-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-perimeter-voronoi_std_eigenvector_centrality-avgRoomArea-voronoi_avg_shortest_path_length-voronoi_edges-topology_avg_katz_centrality-voronoi_radius-voronoi_traversal_rotation
