n. features, avg 5-fold RMSE, avg 5-fold r^2, usedFeatures 
8,0.003737671361970537,0.6944110732380355,voronoi_traversal_distance-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-area-voronoi_avg_eigenvector_centrality-voronoi_std_eigenvector_centrality
16,0.003757556160313533,0.663389928307524,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-area-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-perimeter-voronoi_std_eigenvector_centrality-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-voronoi_traversal_rotation
13,0.003906832773326409,0.6953745498317279,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-area-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_std_eigenvector_centrality-voronoi_edges-voronoi_traversal_rotation
17,0.0039265556346801695,0.7492225632168481,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-area-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-perimeter-voronoi_std_eigenvector_centrality-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-topology_avg_eigenvector_centrality-voronoi_traversal_rotation
9,0.003946319176123583,0.7463925837751074,voronoi_traversal_distance-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-area-voronoi_avg_eigenvector_centrality-voronoi_std_eigenvector_centrality-voronoi_edges
5,0.003990203062322927,0.734355539740274,voronoi_traversal_distance-voronoi_std_katz_centrality-voronoi_density-voronoi_avg_eigenvector_centrality-voronoi_std_eigenvector_centrality
7,0.004003532750030676,0.6518660458761373,voronoi_traversal_distance-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-voronoi_avg_eigenvector_centrality-voronoi_std_eigenvector_centrality
4,0.004031858075377442,0.7175400081459211,voronoi_traversal_distance-voronoi_std_katz_centrality-voronoi_density-voronoi_std_eigenvector_centrality
23,0.004091236019259103,0.5516988793851638,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-topology_std_betweenness_centrality-voronoi_density-topology_density-area-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-perimeter-voronoi_std_eigenvector_centrality-voronoi_avg_shortest_path_length-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-topology_avg_eigenvector_centrality-voronoi_radius-voronoi_traversal_rotation
6,0.004165507636040772,0.6903656770685199,voronoi_traversal_distance-voronoi_avg_betweenness_centrality-voronoi_std_katz_centrality-voronoi_density-voronoi_avg_eigenvector_centrality-voronoi_std_eigenvector_centrality
10,0.004185447822813155,0.6883654054339563,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_density-voronoi_avg_eigenvector_centrality-voronoi_std_eigenvector_centrality-voronoi_edges
28,0.004200035343462976,0.5945152631433067,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-topology_edges-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-topology_std_betweenness_centrality-voronoi_density-topology_density-area-numRooms-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-perimeter-topology_nodes-voronoi_std_eigenvector_centrality-avgRoomArea-voronoi_avg_shortest_path_length-voronoi_std_closeness_centrality-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-topology_avg_eigenvector_centrality-voronoi_radius-voronoi_traversal_rotation
2,0.004215754421845176,0.6952261807499145,voronoi_traversal_distance-voronoi_std_eigenvector_centrality
