n. features, avg 5-fold RMSE, avg 5-fold r^2, usedFeatures 
20,1675.5773931838903,0.7441009108841377,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-voronoi_density-area-avgRoomPerimeter-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-perimeter-voronoi_std_eigenvector_centrality-avgRoomArea-voronoi_avg_shortest_path_length-voronoi_edges-voronoi_radius-voronoi_traversal_rotation
7,1770.706825134595,0.8019927162949267,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-area-voronoi_numBifurcationPoints-voronoi_edges
16,1773.9542000236445,0.8078553722487192,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-voronoi_density-area-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-perimeter-voronoi_std_eigenvector_centrality-voronoi_avg_shortest_path_length-voronoi_edges-voronoi_radius-voronoi_traversal_rotation
23,1814.126909036436,0.8161889667496162,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-voronoi_density-area-avgRoomPerimeter-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-perimeter-voronoi_std_eigenvector_centrality-avgRoomArea-voronoi_avg_shortest_path_length-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-topology_avg_eigenvector_centrality-voronoi_radius-voronoi_traversal_rotation
22,1820.129147819948,0.6667449207465876,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-voronoi_density-area-avgRoomPerimeter-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-perimeter-voronoi_std_eigenvector_centrality-avgRoomArea-voronoi_avg_shortest_path_length-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-voronoi_radius-voronoi_traversal_rotation
8,1866.5008244883095,0.8061335561335637,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-area-voronoi_numBifurcationPoints-perimeter-voronoi_edges
9,1889.0542421585628,0.791508074476757,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-roomPerimeter-voronoi_std_katz_centrality-area-voronoi_numBifurcationPoints-perimeter-voronoi_edges
18,1890.404817329151,0.8006235105113191,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-voronoi_density-area-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-perimeter-voronoi_std_eigenvector_centrality-avgRoomArea-voronoi_avg_shortest_path_length-voronoi_edges-voronoi_radius-voronoi_traversal_rotation
17,1913.4231939528113,0.646864855716879,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-voronoi_density-area-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-perimeter-voronoi_std_eigenvector_centrality-voronoi_avg_shortest_path_length-voronoi_edges-voronoi_radius-voronoi_traversal_rotation
27,1925.1454610175308,0.5705872895931878,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_avg_betweenness_centrality-roomPerimeter-voronoi_std_katz_centrality-voronoi_diameter-topology_std_betweenness_centrality-voronoi_density-topology_density-area-avgRoomPerimeter-voronoi_numBifurcationPoints-voronoi_avg_eigenvector_centrality-voronoi_avg_closeness_centrality-perimeter-voronoi_std_eigenvector_centrality-avgRoomArea-voronoi_avg_shortest_path_length-voronoi_std_closeness_centrality-voronoi_edges-topology_avg_katz_centrality-voronoi_std_betweenness_centrality-topology_avg_eigenvector_centrality-avgRoomWallRatio-voronoi_radius-voronoi_traversal_rotation
