n. features, avg 5-fold RMSE, avg 5-fold r^2, usedFeatures 
3,1278.00693328,0.536442402829,voronoi_traversal_distance-voronoi_nodes-voronoi_edges
1,1281.32554382,0.288033674122,voronoi_traversal_distance
2,1292.65210829,0.638618665747,voronoi_traversal_distance-voronoi_nodes
5,1307.40788896,0.456413265202,voronoi_traversal_distance-voronoi_nodes-numRooms-voronoi_edges-voronoi_avg_shortest_path_length
9,1357.89293329,0.440641269594,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_std_eigenvector_centrality-numRooms-voronoi_edges-topology_nodes-voronoi_avg_shortest_path_length-voronoi_traversal_rotation
6,1367.34323551,0.521118139068,voronoi_traversal_distance-voronoi_nodes-numRooms-voronoi_edges-voronoi_avg_shortest_path_length-voronoi_traversal_rotation
10,1368.79107095,0.444233444918,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_std_eigenvector_centrality-numRooms-voronoi_numBifurcationPoints-voronoi_edges-topology_nodes-voronoi_avg_shortest_path_length-voronoi_traversal_rotation
4,1378.98825477,0.576409598672,voronoi_traversal_distance-voronoi_nodes-voronoi_edges-voronoi_avg_shortest_path_length
8,1387.10014296,0.278141572835,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-numRooms-voronoi_edges-topology_nodes-voronoi_avg_shortest_path_length-voronoi_traversal_rotation
7,1388.25171885,0.49490909947,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-numRooms-voronoi_edges-voronoi_avg_shortest_path_length-voronoi_traversal_rotation
11,1431.28213334,0.47383300781,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_std_eigenvector_centrality-voronoi_std_katz_centrality-numRooms-voronoi_numBifurcationPoints-voronoi_edges-topology_nodes-voronoi_avg_shortest_path_length-voronoi_traversal_rotation
14,1433.26004298,0.436165926805,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-topology_edges-voronoi_std_eigenvector_centrality-voronoi_avg_betweenness_centrality-voronoi_std_katz_centrality-numRooms-voronoi_numBifurcationPoints-voronoi_edges-topology_nodes-voronoi_avg_shortest_path_length-topology_std_eigenvector_centrality-voronoi_traversal_rotation
15,1456.12035153,0.429900327998,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-topology_edges-voronoi_std_eigenvector_centrality-voronoi_avg_betweenness_centrality-voronoi_std_katz_centrality-numRooms-voronoi_numBifurcationPoints-voronoi_edges-topology_nodes-voronoi_avg_shortest_path_length-voronoi_radius-topology_std_eigenvector_centrality-voronoi_traversal_rotation
13,1533.20525835,0.23568244924,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_std_eigenvector_centrality-voronoi_avg_betweenness_centrality-voronoi_std_katz_centrality-numRooms-voronoi_numBifurcationPoints-voronoi_edges-topology_nodes-voronoi_avg_shortest_path_length-topology_std_eigenvector_centrality-voronoi_traversal_rotation
17,1589.86381172,0.132740930516,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-topology_edges-voronoi_std_eigenvector_centrality-voronoi_avg_betweenness_centrality-voronoi_std_katz_centrality-voronoi_diameter-numRooms-voronoi_numBifurcationPoints-voronoi_edges-topology_nodes-voronoi_avg_shortest_path_length-voronoi_std_closeness_centrality-voronoi_radius-topology_std_eigenvector_centrality-voronoi_traversal_rotation
12,1598.26502836,0.372513544373,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-voronoi_std_eigenvector_centrality-voronoi_avg_betweenness_centrality-voronoi_std_katz_centrality-numRooms-voronoi_numBifurcationPoints-voronoi_edges-topology_nodes-voronoi_avg_shortest_path_length-voronoi_traversal_rotation
19,1630.19303725,0.117384318996,voronoi_traversal_distance-voronoi_numTerminalPoints-voronoi_nodes-topology_edges-voronoi_std_eigenvector_centrality-voronoi_avg_betweenness_centrality-voronoi_std_katz_centrality-voronoi_diameter-numRooms-voronoi_numBifurcationPoints-voronoi_avg_closeness_centrality-voronoi_edges-topology_nodes-voronoi_avg_shortest_path_length-voronoi_std_closeness_centrality-voronoi_radius-topology_avg_katz_centrality-topology_std_eigenvector_centrality-voronoi_traversal_rotation
