x, y, r^2, avg 5-fold RMSE, avg 5-fold r^2 
totalTime,transError.std.mean,0.839422740834,0.0700739197893,0.759292030711
totalLength,transError.std.mean,0.777513524354,0.0866760715237,0.715264101502
totalTime,transError.mean.mean,0.748953207029,0.0730947161559,0.723733542843
totalTime,rotError.numSamples.mean,0.745306922539,1369.16944925,0.632817916638
totalTime,transError.numSamples.mean,0.745306922539,1382.60988443,0.626159564381
totalLength,transError.mean.mean,0.731704399428,0.0765278678244,0.633928125145
traversalTime,transError.mean.mean,0.703585401086,0.0828554943994,0.574562346906
traversalTime,transError.std.mean,0.675334202996,0.0981161289746,0.51313836209
totalLength,rotError.numSamples.mean,0.661316456798,1536.6883432,0.522516599833
totalLength,transError.numSamples.mean,0.661316456798,1569.06012865,0.607426526259
traversalTime,rotError.numSamples.mean,0.581828991973,1624.45061573,0.55506063852
traversalTime,transError.numSamples.mean,0.581828991973,1663.06649934,0.523699485139
totalTime,transError.std.std,0.427358161432,0.108318776074,0.329712162891
voronoi_edges,transError.std.mean,0.40345472994,0.135219980422,0.250771481891
voronoi_nodes,transError.std.mean,0.403357177568,0.136650023763,0.329143319877
totalTime,rotError.numSamples.std,0.398746561442,3511.9252004,0.357080890378
totalTime,transError.numSamples.std,0.398746561442,3299.92971574,0.089390768275
voronoi_nodes,rotError.numSamples.mean,0.385986137268,1973.06632777,0.305349862436
voronoi_nodes,transError.numSamples.mean,0.385986137268,1966.91812425,0.306414301997
voronoi_edges,rotError.numSamples.mean,0.382185983324,2035.21901485,0.308204979183
voronoi_edges,transError.numSamples.mean,0.382185983324,2033.88844686,0.306476249455
numRooms,transError.std.mean,0.359033454622,0.143533168499,0.301152385368
voronoi_edges,transError.mean.mean,0.354730742048,0.124988970203,0.30238505051
numRooms,transError.mean.mean,0.354317012344,0.117571009924,0.22428071644
voronoi_nodes,transError.mean.mean,0.352859789639,0.1200388913,0.201969812131
voronoi_numBifurcationPoints,transError.std.mean,0.345013888016,0.141640530805,0.224355173226
totalLength,transError.std.std,0.337748708622,0.117497351504,0.00291622862354
numRooms,rotError.numSamples.mean,0.329478786638,2148.52492657,0.235986937763
numRooms,transError.numSamples.mean,0.329478786638,2087.53984092,0.0919138784472
voronoi_edges,transError.mean.std,0.325063622781,0.0631259084483,0.193207039532
topology_nodes,transError.mean.mean,0.323650225974,0.124338820496,0.271635365758
voronoi_avg_shortest_path_length,transError.mean.mean,0.323643495643,0.122859683628,0.297856353932
voronoi_nodes,transError.mean.std,0.321046590503,0.0624028858348,0.0954262897298
topology_nodes,transError.mean.std,0.319022947761,0.066024119514,0.142551582152
totalLength,rotError.numSamples.std,0.315166199097,3870.06204798,-0.273494225767
totalLength,transError.numSamples.std,0.315166199097,3885.59888506,0.128529997137
voronoi_radius,transError.mean.mean,0.314130927257,0.126165566549,0.124689088847
voronoi_numBifurcationPoints,transError.mean.mean,0.311035374956,0.123510194019,0.167298748123
voronoi_std_betweenness_centrality,transError.mean.std,0.308722121885,0.0624819080503,0.235309182156
voronoi_avg_shortest_path_length,transError.std.mean,0.306959149817,0.142806296573,0.213636273009
topology_edges,transError.mean.std,0.304836229239,0.0658740401206,0.209193277022
voronoi_numBifurcationPoints,rotError.numSamples.mean,0.303231703008,2073.5061185,0.173014606804
voronoi_numBifurcationPoints,transError.numSamples.mean,0.303231703008,2155.76046402,0.117575429944
topology_nodes,transError.std.mean,0.29329128063,0.147768994538,0.068437213027
topology_edges,transError.mean.mean,0.291471271712,0.127559721672,0.270146453219
voronoi_avg_betweenness_centrality,transError.std.mean,0.288059256898,0.153140490951,0.0835703148423
voronoi_std_eigenvector_centrality,transError.std.mean,0.287046053105,0.157829319569,0.126216771284
voronoi_nodes,rotError.mean.mean,0.286917929009,0.00365723536236,0.148769147709
voronoi_std_eigenvector_centrality,transError.mean.mean,0.286443174436,0.133755213469,-0.0994862804356
voronoi_avg_shortest_path_length,rotError.numSamples.mean,0.285343458712,2107.89972647,0.267158277913
voronoi_avg_shortest_path_length,transError.numSamples.mean,0.285343458712,2150.32827916,0.132059480003
topology_std_eigenvector_centrality,transError.mean.mean,0.284800770293,0.12518593036,0.170702809578
voronoi_avg_betweenness_centrality,transError.mean.std,0.2838946419,0.0681228874032,0.243018712479
numRooms,transError.mean.std,0.282892522959,0.0669485457557,0.198259838154
voronoi_numBifurcationPoints,transError.mean.std,0.281083880662,0.0647597408417,0.149204678303
voronoi_edges,rotError.mean.mean,0.276066480607,0.00401034455383,0.143220789743
voronoi_std_betweenness_centrality,transError.mean.mean,0.275110174155,0.127129653449,0.230702284982
voronoi_std_katz_centrality,transError.mean.mean,0.273407056399,0.139748507375,-0.0191527240672
voronoi_nodes,rotError.std.mean,0.27217724483,0.00569557672071,0.208999226342
topology_nodes,rotError.numSamples.mean,0.271352547609,2240.57471185,0.0284298541958
topology_nodes,transError.numSamples.mean,0.271352547609,2277.57364712,0.178155216463
voronoi_std_katz_centrality,transError.std.mean,0.269149182277,0.15035201408,-0.0649527633202
