avgRoomPerimeter,transError.numSamples.std
1364.92084998,4496.65449768
2504.05291544,1068.57195671
397.608743609,257.853455343
158.574001973,141.850142792
635.88614888,182.929460449
108.968542951,2244.05747734
1528.34984877,3935.77212331
759.248936383,2874.5710625
907.63600807,363.803157271
529.397177254,147.306005198
720.429585269,2626.374729
443.595373769,108.084781537
231.338538533,1084.0791156
655.562672363,180.818284498
162.29472605,273.731419461
1446.42707976,642.991734482
1054.23420007,702.453163625
539.066583437,1510.28589149
99.2869208384,14872.7918784
252.355785617,720.79837633
191.722481992,9225.92445392
379.091758694,3023.39259484
262.262352826,2651.41884337
191.601876363,24043.8800652
294.819744545,1616.41335473
252.559291854,8919.29941979
632.972242461,1725.55951023
707.007128463,1863.36560045
152.416788175,624.17813537
511.089909024,620.469279434
855.595083334,857.003410118
3522.51982697,5103.87888822
345.9363477,1966.19530209
650.998139899,1057.23261059
120.176589697,1483.83345876
264.066070953,3961.17166175
462.675505543,165.786311893
381.143373035,2139.14201672
758.966768091,1428.99660238
1344.71238759,968.189122803
351.259423682,5433.37490878
575.918221531,3842.62601996
973.132170798,1817.05743137
557.871193445,691.528513091
1503.33670222,8506.08116752
774.553634232,3722.68290681
555.98246505,1936.04140841
2161.19207626,4393.41939757
1410.68850812,1687.4634671
2284.5563757,2072.14962693
511.212845367,383.599850828
630.752429175,786.667567909
894.483397546,1917.94562562
1099.36562113,2174.75877982
630.451496107,748.389444073
1194.83545134,2608.69783514
1792.08753811,1354.24201138
525.16858287,490.102011085
391.018440217,432.474999277
645.16136179,473.088895362
2075.92330798,597.094712473
1164.69698299,1136.24840985
248.223687618,3100.93252085
874.059231919,803.781894131
470.90808455,1700.53022844
527.296427239,316.936671506
844.944967104,2065.32399555
219.335679185,1024.40711512
558.011810887,350.849437575
288.41201767,3504.51641908
1406.85593365,2631.23148885
682.400594462,257.78020405
2023.67071564,1433.91482635
112.337263592,4268.01882728

5-Fold RMSE:,6897.06581654,1567.25349492,2182.59387804,2760.18452798,2760.18452798
Average 5-Fold RMSE:,3049.2450455

5-Fold rsquared:,-0.177208630844,-0.0129220199843,-0.312833499945,-0.679152598969,-0.679152598969
Average 5-Fold rsquared:,-0.311189615958
