avgRoomArea,transError.numSamples.std
7977.65771283,5234.2224285
21173.5347899,1068.57195671
624.168754832,257.853455343
80.8425765625,141.850142792
1471.88578033,182.929460449
34.881097464,3510.04999446
2549.50107571,3935.77212331
1963.40434773,4927.43898941
2780.84323949,363.803157271
1048.19797,147.306005198
2295.96385831,2626.374729
722.891074407,108.084781537
238.733433348,1084.0791156
1918.774887,183.153742003
68.8216068272,273.731419461
6551.51671392,642.991734482
6943.03896001,736.775631788
1733.7689016,1510.28589149
35.6467956188,14727.7449601
151.362690548,2308.33572565
99.3657311669,9784.61316845
301.946595142,8108.00744572
121.68372176,2866.01159506
117.729480802,25803.4507764
159.178043584,2219.38941949
159.188760688,8919.29941979
859.936380576,1725.55951023
1770.82512649,3228.66340734
91.9816248562,308.046732032
1183.72809077,701.623265043
1997.3848037,12253.024445
49524.5924242,5103.87888822
469.164697244,12190.977691
943.370778453,10206.0904135
42.0407507992,1947.88730019
199.193698175,4006.02426321
788.58765325,189.939449112
453.458902845,338.663728636
1693.17206751,4015.83521781
5552.49887159,968.189122803
363.343164941,5532.41528027
1289.36416825,1328.17120275
2951.87623731,4913.35122961
977.277898735,897.213776087
5426.47434551,12782.2996962
2722.63884182,15884.6134701
1209.03521613,3217.32940007
16879.3303371,4350.15152402
5157.30973711,1687.4634671
15832.5442995,2927.87105563
1087.11846417,383.599850828
1294.3483084,379.749169978
2704.27313193,1917.94562562
4465.17802586,2174.75877982
2060.46065176,1102.42140417
6566.39327632,2925.49410622
7841.40851591,3355.85891523
1885.83138054,490.102011085
684.955365045,175.644666554
1404.46439982,473.088895362
17362.1361915,617.028443908
5741.66815356,1136.24840985
202.653527556,4289.42952164
3232.68514713,803.781894131
654.353986368,1881.63948857
1364.62420536,316.936671506
2100.80696472,2151.72678867
114.824991211,6754.77336762
1050.81706285,350.849437575
286.445046973,3895.98161441
5620.85672307,9293.22106863
1918.72960961,257.78020405
5899.38741064,1433.91482635
37.5123784326,4998.19879432
