avg_shortest_path_length,rotError.numSamples.std
12.5083333333,5234.2224285
13.3569271611,1068.57195671
12.912183908,257.853455343
5.78474576271,141.850142792
9.30294530154,182.929460449
12.3206884014,3510.04999446
16.1501124462,3935.77212331
16.4234150966,4927.43898941
14.6480345376,363.803157271
12.2139696587,147.306005198
11.3142857143,2626.374729
8.58827160494,108.084781537
8.57716049383,1084.0791156
10.682532418,183.153742003
7.91540616246,273.731419461
8.67536231884,642.991734482
16.3656387665,736.775631788
14.4232506728,1510.28589149
16.4339661845,14727.7449601
11.5084367246,2308.33572565
24.0119570496,9784.61316845
14.0247250894,8108.00744572
9.46532338308,2866.01159506
14.9227073619,25803.4507764
8.04121274409,2219.38941949
12.0442237501,8919.29941979
8.04257703081,1725.55951023
17.1090763052,3228.66340734
16.8520773344,308.046732032
14.4353595256,701.623265043
14.282835877,12253.024445
15.3235310498,5103.87888822
17.5499233156,12190.977691
20.3348066541,10206.0904135
16.2894352159,1947.88730019
17.6897421203,4006.02426321
7.64877192982,189.939449112
12.9439687025,338.663728636
13.0972090374,4015.83521781
9.9010989011,968.189122803
16.4454892506,5532.41528027
22.6007609824,1328.17120275
12.4963662791,4913.35122961
15.6761002031,897.213776087
15.0959665481,12782.2996962
15.7765005537,15884.6134701
12.0269053248,3217.32940007
15.4703899487,4350.15152402
11.876818816,1687.4634671
13.9151562839,2927.87105563
12.227715946,383.599850828
10.8023779499,379.749169978
12.8683986774,1917.94562562
17.2478158651,2174.75877982
11.9320570832,1102.42140417
13.4870361446,2925.49410622
12.3135100709,3355.85891523
16.7567925048,490.102011085
12.165374677,175.644666554
11.5426798101,473.088895362
3.74025974026,617.028443908
12.9842643588,1136.24840985
15.7706882489,4289.42952164
12.4842701937,803.781894131
13.5300479543,1881.63948857
9.91822222222,316.936671506
13.346740213,2151.72678867
12.3785714286,6754.77336762
13.5930449902,350.849437575
20.2936398381,3895.98161441
12.2111532504,9293.22106863
14.8327194292,257.78020405
13.2625249684,1433.91482635
21.4998288341,4998.19879432
