numBifurcationPoints,transError.numSamples.std
131,5234.2224285
162,1068.57195671
88,257.853455343
28,141.850142792
44,182.929460449
93,3510.04999446
197,3935.77212331
146,4927.43898941
85,363.803157271
52,147.306005198
48,2626.374729
39,108.084781537
38,1084.0791156
52,183.153742003
41,273.731419461
32,642.991734482
114,736.775631788
145,1510.28589149
119,14727.7449601
68,2308.33572565
195,9784.61316845
107,8108.00744572
98,2866.01159506
126,25803.4507764
66,2219.38941949
58,8919.29941979
41,1725.55951023
125,3228.66340734
107,308.046732032
145,701.623265043
141,12253.024445
92,5103.87888822
268,12190.977691
214,10206.0904135
145,1947.88730019
178,4006.02426321
36,189.939449112
104,338.663728636
117,4015.83521781
49,968.189122803
160,5532.41528027
159,1328.17120275
62,4913.35122961
102,897.213776087
137,12782.2996962
155,15884.6134701
94,3217.32940007
135,4350.15152402
84,1687.4634671
144,2927.87105563
67,383.599850828
90,379.749169978
71,1917.94562562
126,2174.75877982
81,1102.42140417
134,2925.49410622
82,3355.85891523
94,490.102011085
80,175.644666554
74,473.088895362
13,617.028443908
58,1136.24840985
123,4289.42952164
65,803.781894131
121,1881.63948857
60,316.936671506
111,2151.72678867
148,6754.77336762
101,350.849437575
228,3895.98161441
93,9293.22106863
119,257.78020405
112,1433.91482635
324,4998.19879432
