totalTime,rotError.numSamples.mean
7743.55652174,5859.7826087
5871.41333333,2208.2
2281.97894737,533.736842105
1354.59642857,281.035714286
1659.58214286,375.75
5198.54516129,3820.06451613
5477.86666667,4729.04166667
3536.62173913,3357.30434783
2830.96086957,1109.95652174
1745.23513514,244.540540541
2208.06285714,830.8
1662.192,180.0
1609.00666667,450.733333333
2145.56944444,457.388888889
2048.65333333,628.1
3052.23428571,954.971428571
3921.41666667,1007.54166667
3581.27058824,2059.76470588
7052.875,8900.875
4358.37826087,2142.7826087
9060.99310345,6283.62068966
9315.98928571,5881.21428571
3083.37857143,3028.03571429
10953.65,13942.1666667
5282.52058824,2496.67647059
6047.27826087,8121.34782609
3020.41666667,2459.1
3506.38235294,3998.88235294
2408.40952381,716.857142857
2618.1826087,843.47826087
3122.75454545,3702.36363636
5479.196,6648.12
4442.33333333,4365.44444444
3697.00666667,4280.06666667
3580.12352941,1701.35294118
5922.8125,3879.09375
1650.44782609,189.695652174
3048.48125,508.4375
3913.77777778,2765.85185185
2507.84230769,1206.76923077
8273.10833333,6532.5
5024.57727273,3173.27272727
2868.95833333,2456.83333333
5079.84,2281.8
5964.87241379,6061.31034483
5847.58333333,8307.2
2814.78857143,2598.6
5177.86829268,3927.24390244
2649.53928571,1492.89285714
7299.80714286,3814.28571429
2228.52666667,655.766666667
2415.84444444,612.888888889
3423.01111111,1611.27777778
6119.592,3842.36
2439.62142857,1384.0
4293.42333333,3280.36666667
3703.52857143,2484.47619048
3426.39032258,1119.77419355
2134.64666667,591.466666667
1896.65609756,510.341463415
4176.48846154,1281.76923077
2596.04,1420.46666667
5151.05,4234.0625
2637.14444444,754.666666667
5440.36666667,3208.20833333
1954.06206897,407.793103448
4110.29615385,2487.5
3868.05454545,3492.45454545
2386.22592593,609.074074074
7405.83571429,4201.78571429
2968.16428571,2976.25
2600.284,461.08
5058.65263158,1971.81578947
7124.93333333,8002.75
