traversalTime,transError.numSamples.mean
1349.09985599,5859.7826087
919.718726924,2208.2
419.663612797,533.736842105
211.703543676,281.035714286
265.490773911,375.75
1173.06783952,3820.06451613
1490.99507567,4729.04166667
841.175649661,3357.30434783
512.459790786,1109.95652174
183.023661923,244.540540541
288.952643527,830.8
191.014634059,180.0
162.313862645,450.733333333
384.763332574,457.388888889
546.868433022,628.1
384.284799509,954.971428571
1093.28515564,1007.54166667
823.369821087,2059.76470588
1603.67256076,8900.875
726.421235223,2142.7826087
1455.54715772,6283.62068966
1342.9430314,5881.21428571
608.712541442,3028.03571429
1371.34741951,13942.1666667
550.763056801,2496.67647059
1001.59400158,8121.34782609
498.802202458,2459.1
951.22385554,3998.88235294
633.149187702,716.857142857
808.608614515,843.47826087
897.190026783,3702.36363636
1578.35836762,6648.12
918.534020399,4365.44444444
1008.03211816,4280.06666667
870.931728251,1701.35294118
1371.33686714,3879.09375
274.928270325,189.695652174
658.752298095,508.4375
750.178214424,2765.85185185
510.678711028,1206.76923077
1567.27616653,6532.5
1367.57529848,3173.27272727
492.886623007,2456.83333333
740.557101864,2281.8
1069.35769226,6061.31034483
1006.22432177,8307.2
520.067365763,2598.6
717.088483789,3927.24390244
354.772213719,1492.89285714
1193.67522752,3814.28571429
439.245777626,655.766666667
431.491340742,612.888888889
425.603880936,1611.27777778
1025.57459113,3842.36
589.758911653,1384.0
656.952316561,3280.36666667
754.01694709,2484.47619048
699.590611899,1119.77419355
484.299613589,591.466666667
339.901939934,510.341463415
205.223499199,1281.76923077
609.45010448,1420.46666667
1187.28583886,4234.0625
639.103357547,754.666666667
874.938568522,3208.20833333
285.340344762,407.793103448
870.904226907,2487.5
731.103227949,3492.45454545
618.684245989,609.074074074
2080.31115619,4201.78571429
786.534337607,2976.25
653.648966259,461.08
1138.67499527,1971.81578947
2035.82864252,8002.75
