wallRatio,transError.numSamples.mean
95.5085578123,5859.7826087
58.5,2208.2
259.861982598,533.736842105
79.1568064035,281.035714286
156.077544829,375.75
254.000492126,3820.06451613
107.75,4729.04166667
85.0,3357.30434783
150.372087523,1109.95652174
116.372247551,244.540540541
79.9034139168,830.8
152.105884173,180.0
140.405128111,450.733333333
70.2032762768,457.388888889
111.803398875,628.1
52.3333333333,954.971428571
159.476547589,1007.54166667
107.12901101,2059.76470588
75.0,8900.875
85.5,2142.7826087
82.2192191644,6283.62068966
85.6692606611,5881.21428571
146.017550315,3028.03571429
42.5,13942.1666667
40.7940417972,2496.67647059
116.833333333,8121.34782609
54.6829244118,2459.1
195.799193881,3998.88235294
52.3630080819,716.857142857
72.7590861363,843.47826087
137.333434466,3702.36363636
195.0,6648.12
57.795023193,4365.44444444
62.8,4280.06666667
64.1950153828,1701.35294118
47.3333333333,3879.09375
134.713399482,189.695652174
75.894663844,508.4375
64.2505870093,2765.85185185
64.8333333333,1206.76923077
113.5,6532.5
59.6003355695,3173.27272727
116.659635642,2456.83333333
75.5,2281.8
61.75,6061.31034483
119.221642331,8307.2
100.215345056,2598.6
113.84243497,3927.24390244
100.762716319,1492.89285714
108.5,3814.28571429
61.0,655.766666667
69.3375245282,612.888888889
162.786363065,1611.27777778
60.9924333264,3842.36
276.335142736,1384.0
125.858650875,3280.36666667
136.792027631,2484.47619048
170.018165119,1119.77419355
186.752431278,591.466666667
94.2,510.341463415
121.115647214,1281.76923077
125.858650875,1420.46666667
69.0004528971,4234.0625
60.5556574923,754.666666667
54.7144722115,3208.20833333
76.8259771772,407.793103448
56.5108006335,2487.5
185.4,3492.45454545
39.8571428571,609.074074074
68.2,4201.78571429
88.2524787187,2976.25
103.815447111,461.08
359.666821131,1971.81578947
82.25,8002.75
