perimeter,rotError.numSamples.mean
383.710764507,8502.88888889
476.307895935,4291.20833333
919.385854688,5073.26086957
845.094809668,2208.2
400.830204991,533.736842105
104.798400009,281.035714286
297.255462487,375.75
175.184877189,3820.06451613
975.710287307,4729.04166667
661.864870045,3357.30434783
461.959330453,1109.95652174
301.700928702,244.540540541
395.362041332,830.8
266.76921056,180.0
190.183623926,450.733333333
384.28900186,457.388888889
169.305586218,628.1
547.895428741,954.971428571
663.883925852,914.034482759
569.465956684,2059.76470588
277.253593842,8900.875
186.385475943,2142.7826087
266.853191731,9951.88235294
251.520417083,5881.21428571
217.978099666,3028.03571429
413.568733758,12817.0714286
161.46910584,2496.67647059
333.320883456,8121.34782609
348.726342602,2459.1
582.414195881,3998.88235294
416.287346717,716.857142857
602.450956601,843.47826087
625.529006956,3702.36363636
1411.67024864,6648.12
687.006424965,4365.44444444
804.802666284,4280.06666667
325.157616123,1701.35294118
394.105092531,3879.09375
254.907573617,189.695652174
512.058047582,1054.375
574.390274931,2765.85185185
577.749460923,1206.76923077
462.202334131,6532.5
542.151199633,3173.27272727
607.353417602,2456.83333333
895.078361009,2281.8
810.652971073,6061.31034483
791.247099826,8307.2
523.504495381,2598.6
642.501394841,3927.24390244
438.695516966,1492.89285714
921.061208435,3379.41666667
425.51985706,655.766666667
383.553654629,964.583333333
611.004216827,1611.27777778
1094.05395026,3842.36
396.724658884,1384.0
623.982104305,3280.36666667
673.355919531,2484.47619048
614.642509546,1119.77419355
383.053807066,581.0
377.554649486,510.341463415
798.372831181,1274.18518519
541.589338691,1420.46666667
479.641424654,4234.0625
562.534496366,754.666666667
398.050280897,3208.20833333
346.945664463,407.793103448
629.847164937,2487.5
243.197749682,2474.48571429
431.988152916,609.074074074
609.954365264,2976.25
446.124179764,461.08
1033.37498647,1971.81578947

5-Fold RMSE:,1770.78475086,2645.83075157,3208.86473463,3249.31467773,3249.31467773
Average 5-Fold RMSE:,2532.29391743

5-Fold rsquared:,-0.834958944957,-0.0858453090998,-0.0646344711519,0.0341821033622,0.0341821033622
Average 5-Fold rsquared:,-0.152072801194
