topology_edges,transError.numSamples.mean
54,8502.88888889
48,4291.20833333
48,5073.26086957
32,2208.2
13,533.736842105
10,281.035714286
12,375.75
63,3820.06451613
43,4729.04166667
26,3357.30434783
23,1109.95652174
14,244.540540541
16,830.8
15,180.0
22,450.733333333
19,457.388888889
18,628.1
15,954.971428571
30,914.034482759
2,2059.76470588
67,8900.875
21,2142.7826087
49,9951.88235294
32,5881.21428571
41,3028.03571429
37,12817.0714286
18,2496.67647059
19,8121.34782609
18,2459.1
36,3998.88235294
42,716.857142857
46,843.47826087
39,3702.36363636
24,6648.12
90,4365.44444444
57,4280.06666667
57,1701.35294118
63,3879.09375
13,189.695652174
47,1054.375
35,2765.85185185
16,1206.76923077
51,6532.5
23,3173.27272727
23,2456.83333333
59,2281.8
30,6061.31034483
50,8307.2
29,2598.6
19,3927.24390244
18,1492.89285714
32,3379.41666667
20,655.766666667
21,964.583333333
26,1611.27777778
43,3842.36
25,1384.0
26,3280.36666667
20,2484.47619048
31,1119.77419355
22,581.0
15,510.341463415
18,1274.18518519
16,1420.46666667
37,4234.0625
20,754.666666667
35,3208.20833333
17,407.793103448
39,2487.5
46,2474.48571429
17,609.074074074
27,2976.25
21,461.08
35,1971.81578947

5-Fold RMSE:,1255.57512765,1963.98225679,3526.75946162,1480.26719877,1480.26719877
Average 5-Fold RMSE:,2137.03982044

5-Fold rsquared:,0.323552633438,-0.232714768214,-0.0639391597749,0.478834902659,0.478834902659
Average 5-Fold rsquared:,0.120039735818
