totalTime,transError.numSamples.std
7739.04545455,4496.65449768
5871.41333333,1068.57195671
2281.97894737,257.853455343
1354.59642857,141.850142792
1659.58214286,182.929460449
5185.57037037,2244.05747734
5477.86666667,3935.77212331
3478.16818182,2874.5710625
2830.96086957,363.803157271
1745.23513514,147.306005198
2208.06285714,2626.374729
1662.192,108.084781537
1609.00666667,1084.0791156
2120.34594595,180.818284498
2048.65333333,273.731419461
3052.23428571,642.991734482
3764.16896552,702.453163625
3581.27058824,1510.28589149
7070.53478261,14872.7918784
4370.66666667,720.79837633
9172.43333333,9225.92445392
9147.29230769,3023.39259484
2876.39487179,2651.41884337
10577.6692308,24043.8800652
5200.37,1616.41335473
6047.27826087,8919.29941979
3020.41666667,1725.55951023
3045.04117647,1663.66961927
2454.26153846,624.17813537
2699.92727273,620.469279434
3264.42903226,857.003410118
5479.196,5103.87888822
4427.51923077,1966.19530209
3802.08461538,1057.23261059
3494.89333333,1225.96687648
6018.93823529,3938.28888478
1558.62647059,165.786311893
3136.37916667,2139.14201672
3815.912,1428.99660238
2507.84230769,968.189122803
8208.764,5420.72234094
5026.896,3918.42676716
2862.13043478,1817.05743137
3938.79487179,691.528513091
5791.23846154,8506.08116752
5879.612,3122.71077008
2866.03870968,1936.04140841
5106.66388889,4429.46324048
2649.53928571,1687.4634671
7307.11666667,2072.14962693
2228.52666667,383.599850828
2098.088,786.667567909
3423.01111111,1917.94562562
6119.592,2174.75877982
2410.93333333,751.499781174
4412.42962963,2608.69783514
3693.98717949,1354.24201138
3426.39032258,490.102011085
2034.859375,432.474999277
1896.65609756,473.088895362
4133.45185185,606.727838005
2596.04,1136.24840985
5131.46666667,3100.93252085
2637.14444444,803.781894131
5495.39090909,1700.53022844
1954.06206897,316.936671506
4150.80833333,2065.32399555
3693.959375,1024.40711512
2386.22592593,350.849437575
7180.75,3504.51641908
2941.61538462,2631.23148885
2600.284,257.78020405
5058.65263158,1433.91482635
7318.78076923,4268.01882728

5-Fold RMSE:,1540.20203061,1631.18619381,2749.7412545,3027.72412114,3027.72412114
Average 5-Fold RMSE:,2758.45115421

5-Fold rsquared:,-4.92235941376,0.326499341547,0.474040793735,0.601416992133,0.601416992133
Average 5-Fold rsquared:,-0.741357997627
