voronoi_numBifurcationPoints,transError.numSamples.std
131,4496.65449768
162,1068.57195671
88,257.853455343
28,141.850142792
44,182.929460449
93,2244.05747734
197,3935.77212331
146,2874.5710625
85,363.803157271
52,147.306005198
48,2626.374729
39,108.084781537
38,1084.0791156
52,180.818284498
41,273.731419461
32,642.991734482
114,702.453163625
145,1510.28589149
119,14872.7918784
68,720.79837633
195,9225.92445392
107,3023.39259484
98,2651.41884337
126,24043.8800652
66,1616.41335473
58,8919.29941979
41,1725.55951023
125,1863.36560045
107,624.17813537
145,620.469279434
141,857.003410118
92,5103.87888822
268,1966.19530209
214,1057.23261059
145,1483.83345876
178,3961.17166175
36,165.786311893
104,2139.14201672
117,1428.99660238
49,968.189122803
160,5433.37490878
159,3842.62601996
62,1817.05743137
102,691.528513091
137,8506.08116752
155,3722.68290681
94,1936.04140841
135,4393.41939757
84,1687.4634671
144,2072.14962693
67,383.599850828
90,786.667567909
71,1917.94562562
126,2174.75877982
81,748.389444073
134,2608.69783514
82,1354.24201138
94,490.102011085
80,432.474999277
74,473.088895362
13,597.094712473
58,1136.24840985
123,3100.93252085
65,803.781894131
121,1700.53022844
60,316.936671506
111,2065.32399555
148,1024.40711512
101,350.849437575
228,3504.51641908
93,2631.23148885
119,257.78020405
112,1433.91482635
324,4268.01882728

5-Fold RMSE:,2272.70179125,1908.54329937,1471.59971297,2138.73794824,2138.73794824
Average 5-Fold RMSE:,2925.50887417

5-Fold rsquared:,0.0659800076309,-0.0916302012732,-0.00432835413064,0.100652829687,0.100652829687
Average 5-Fold rsquared:,0.0192356800026
