area,rotError.mean.mean
1196.88557207,0.033056
1276.3958515,0.022922
2354.8528125,0.0119034
1041.21327443,0.024416
734.15,0.022984
1631.6725,0.026014
290.0184375,0.0385815
231.629375,0.01411725
1054.32679687,0.508538
1933.90139917,0.427206333333
325.31,0.027683
459.930625,0.021869
441.6625,0.025594
1647.76381253,0.011314
2313.45559827,0.005875
256.2996875,0.008499
1710.57095749,0.0364685
1020.60351562,0.013377
365.2209375,0.025206
1486.08538919,0.098742
268.7265625,0.0188725
2419.47625,0.0217106666667
1934.39945026,0.0356654
1244.54759766,0.710121333333
441.159665625,0.617859
235.2825,0.347246
397.378125,0.037768
434.9653125,0.0542597777778
279.4009375,0.2879235
786.40125,0.0488165
852.118300775,0.811734
774.963125,0.061975
1269.8764875,0.422134
1203.42228531,0.415324
3629.2829625,0.1402775
1312.1154,0.058548
5351.94959335,0.02715275

5-Fold RMSE:,0.160153160591,0.320327394968,0.13235859977,0.206780347597,0.206780347597
Average 5-Fold RMSE:,0.215660015364

5-Fold rsquared:,-0.236587605632,-0.0893105745909,-9.03651724757,-0.187820452083,-0.187820452083
Average 5-Fold rsquared:,-1.91794793368
