area,transError.mean.mean
1196.88557207,0.77999825
1276.3958515,0.737788
2354.8528125,0.6111264
1041.21327443,0.627088
734.15,0.895302
1631.6725,0.690067
290.0184375,0.6868825
231.629375,0.7195855
1054.32679687,6.0711005
1933.90139917,7.747828
325.31,1.066061
459.930625,0.880959666667
441.6625,1.110731
1647.76381253,0.992162
2313.45559827,0.806277
256.2996875,0.960523
1710.57095749,0.95364
1020.60351562,1.467048
365.2209375,1.3147815
1486.08538919,1.60563
268.7265625,1.28873
2419.47625,1.08620766667
1934.39945026,0.873942
1244.54759766,9.46907833333
441.159665625,5.437125
235.2825,5.458101
397.378125,1.9444218
434.9653125,2.43944244444
279.4009375,2.0359135
786.40125,2.2091805
852.118300775,16.189822
774.963125,2.9383338
1269.8764875,7.8686635
1203.42228531,3.155217
3629.2829625,7.5462215
1312.1154,1.874993
5351.94959335,1.3166405

5-Fold RMSE:,2.93375550909,2.80228241289,2.31123826687,5.34018133614,5.34018133614
Average 5-Fold RMSE:,3.25913362802

5-Fold rsquared:,-0.506039218541,-0.509449297859,-0.118333997558,-0.432584369216,-0.432584369216
Average 5-Fold rsquared:,-3.73882958772
