avgRoomPerimeter,rotError.mean.mean
707.007128463,0.033056
758.966768091,0.022922
2161.19207626,0.0119034
630.451496107,0.024416
470.90808455,0.022984
844.944967104,0.026014
120.176589697,0.0385815
294.819744545,0.01411725
973.132170798,0.508538
1194.83545134,0.427206333333
191.601876363,0.027683
248.223687618,0.021869
112.337263592,0.025594
1792.08753811,0.011314
2075.92330798,0.005875
252.355785617,0.008499
1406.85593365,0.0364685
759.248936383,0.013377
219.335679185,0.025206
855.595083334,0.098742
108.968542951,0.0188725
1503.33670222,0.0217106666667
774.553634232,0.0356654
539.066583437,0.710121333333
529.397177254,0.617859
252.559291854,0.347246
379.091758694,0.037768
191.722481992,0.0542597777778
99.2869208384,0.2879235
575.918221531,0.0488165
555.98246505,0.811734
351.259423682,0.061975
650.998139899,0.422134
1344.71238759,0.415324
1364.92084998,0.1402775
345.9363477,0.058548
3522.51982697,0.02715275

5-Fold RMSE:,0.306048091066,0.232300810267,0.15050070606,0.245257584652,0.245257584652
Average 5-Fold RMSE:,0.217414826769

5-Fold rsquared:,-0.271710094639,-1.25424478836,-0.407303800476,-322.858453054,-322.858453054
Average 5-Fold rsquared:,-65.0092221626
