avgRoomPerimeter,transError.std.mean
707.007128463,0.79363175
758.966768091,0.9712675
2161.19207626,0.660006
630.451496107,0.553814
470.90808455,0.679647
844.944967104,0.695845
120.176589697,0.6465805
294.819744545,0.64506525
973.132170798,8.99611
1194.83545134,11.1858156667
191.601876363,4.032134
248.223687618,0.868578333333
112.337263592,0.980527
1792.08753811,0.931125666667
2075.92330798,0.68123
252.355785617,0.7183785
1406.85593365,1.188382
759.248936383,1.285796
219.335679185,1.247364
855.595083334,2.102963
108.968542951,1.003049
1503.33670222,1.010814
774.553634232,1.3055026
539.066583437,13.7854806667
529.397177254,8.904198
252.559291854,5.65513066667
379.091758694,1.8947556
191.722481992,2.71848344444
99.2869208384,1.921542
575.918221531,2.705434
555.98246505,28.104709
351.259423682,2.8970098
650.998139899,11.9478155
1344.71238759,4.520748
1364.92084998,9.020481
345.9363477,2.112467
3522.51982697,1.77265025

5-Fold RMSE:,3.21645566685,3.03184056023,10.4591685041,4.39082465778,4.39082465778
Average 5-Fold RMSE:,5.06827738309

5-Fold rsquared:,-0.430801844693,-0.0207872641373,-5.24389487367,-0.14924966809,-0.14924966809
Average 5-Fold rsquared:,-1.19284188338
