numRooms,rotError.mean.mean
31,0.033056
33,0.022922
19,0.0119034
24,0.024416
30,0.022984
37,0.026014
49,0.0385815
20,0.01411725
21,0.508538
25,0.427206333333
34,0.027683
35,0.021869
79,0.025594
20,0.011314
19,0.005875
22,0.008499
24,0.0364685
25,0.013377
36,0.025206
35,0.098742
48,0.0188725
35,0.0217106666667
40,0.0356654
34,0.710121333333
15,0.617859
22,0.347246
26,0.037768
45,0.0542597777778
50,0.2879235
23,0.0488165
27,0.811734
42,0.061975
46,0.422134
17,0.415324
43,0.1402775
65,0.058548
25,0.02715275

5-Fold RMSE:,0.271068209791,0.159107640302,0.180177413513,0.263105213094,0.263105213094
Average 5-Fold RMSE:,0.223546127038

5-Fold rsquared:,-0.253213333815,-0.544997666136,-76.9024065821,0.109681510792,0.109681510792
Average 5-Fold rsquared:,-15.50289984
