numRooms,rotError.numSamples.mean
31,8627.0
33,15695.5
19,6140.2
24,4242.0
30,6332.5
37,6329.0
49,5863.0
20,6086.75
21,357218.5
25,830942.333333
34,36389.0
35,15490.3333333
79,13796.0
20,12714.3333333
19,7331.0
22,7723.5
24,25949.5
25,22338.0
36,24431.0
35,59670.0
48,13573.5
35,22022.0
40,32607.8
34,437301.0
15,151082.0
22,114100.666667
26,35666.8
45,122499.666667
50,19129.5
23,110106.5
27,1804313.0
42,225133.0
46,531998.0
17,242087.0
43,311884.0
65,65744.0
25,57460.5

5-Fold RMSE:,202225.63407,172575.929457,721125.604119,123938.985859,123938.985859
Average 5-Fold RMSE:,272261.786575

5-Fold rsquared:,-0.157079404253,-10.3784731919,-10.7183568693,0.0316986506138,0.0316986506138
Average 5-Fold rsquared:,-4.32821381786
