topology_diameter,rotError.mean.std
8,0.0055707192085
7,0.005774
4,0.00612134232338
5,0.005801
4,0.010443
6,0.0
8,0.0071645
4,0.004242387086
5,0.454829
7,0.585340681631
5,0.0
7,0.00592653260066
7,0.0
6,0.00493682941438
6,0.000363
4,1e-05
5,0.0232285
7,0.0
4,0.012573
6,0.0
6,0.0029735
4,0.00940442351001
7,0.0173000462265
2,0.389879276934
6,0.0
4,0.370803851292
4,0.0154836093337
5,0.0414718190067
6,0.2579585
6,0.0264565
8,0.0
8,0.0619982553142
8,0.370025
4,0.0
7,0.1258145
8,0.0
7,0.00653480410475

5-Fold RMSE:,0.0914710567878,0.148059149554,0.125326205379,0.239037435031,0.239037435031
Average 5-Fold RMSE:,0.151330653807

5-Fold rsquared:,-398.955866436,-0.40994555682,-139.861006314,-0.286156649645,-0.286156649645
Average 5-Fold rsquared:,-107.95383295
