topology_diameter,transError.mean.mean
8,0.77999825
7,0.737788
4,0.6111264
5,0.627088
4,0.895302
6,0.690067
8,0.6868825
4,0.7195855
5,6.0711005
7,7.747828
5,1.066061
7,0.880959666667
7,1.110731
6,0.992162
6,0.806277
4,0.960523
5,0.95364
7,1.467048
4,1.3147815
6,1.60563
6,1.28873
4,1.08620766667
7,0.873942
2,9.46907833333
6,5.437125
4,5.458101
4,1.9444218
5,2.43944244444
6,2.0359135
6,2.2091805
8,16.189822
8,2.9383338
8,7.8686635
4,3.155217
7,7.5462215
8,1.874993
7,1.3166405

5-Fold RMSE:,1.823919725,5.95513020735,3.06121253621,2.66462014945,2.66462014945
Average 5-Fold RMSE:,3.15582358782

5-Fold rsquared:,-0.368647434614,-0.27770335249,-0.13484805268,-16.4525568253,-16.4525568253
Average 5-Fold rsquared:,-4.7236493686
