topology_diameter,transError.std.mean
8,0.79363175
7,0.9712675
4,0.660006
5,0.553814
4,0.679647
6,0.695845
8,0.6465805
4,0.64506525
5,8.99611
7,11.1858156667
5,4.032134
7,0.868578333333
7,0.980527
6,0.931125666667
6,0.68123
4,0.7183785
5,1.188382
7,1.285796
4,1.247364
6,2.102963
6,1.003049
4,1.010814
7,1.3055026
2,13.7854806667
6,8.904198
4,5.65513066667
4,1.8947556
5,2.71848344444
6,1.921542
6,2.705434
8,28.104709
8,2.8970098
8,11.9478155
4,4.520748
7,9.020481
8,2.112467
7,1.77265025

5-Fold RMSE:,3.74502417059,3.5824693123,6.11788960251,4.05360227383,4.05360227383
Average 5-Fold RMSE:,5.46869446961

5-Fold rsquared:,-1.10833969054,0.0136798434993,-5.37914065615,-0.253837340826,-0.253837340826
Average 5-Fold rsquared:,-1.5175272331
