topology_edges,rotError.std.mean
36,0.02798225
35,0.0320445
19,0.0178372
25,0.0199945
35,0.021598
39,0.036893
57,0.0359985
18,0.01772125
23,0.5246775
26,0.385748
37,0.088337
37,0.0298306666667
54,0.022416
20,0.014809
18,0.008167
21,0.012435
27,0.0413675
26,0.02285
46,0.028219
39,0.122708
63,0.020269
30,0.023071
50,0.0556182
2,0.805028666667
14,0.736744
19,0.348673666667
32,0.0636326
49,0.0959848888889
67,0.3574515
23,0.047268
29,0.997592
51,0.0586724
57,0.546293
16,0.668596
48,0.147273
90,0.059187
24,0.033395

5-Fold RMSE:,0.175154485565,0.24095035773,0.295391245864,0.340631954381,0.340631954381
Average 5-Fold RMSE:,0.256849614435

5-Fold rsquared:,-0.276681855526,-3.97477887221,0.192965825054,0.124483536416,0.124483536416
Average 5-Fold rsquared:,-0.742590446571
