topology_nodes,rotError.numSamples.std
30,1692.08022859
32,3411.5
19,2886.681652
24,2356.0
30,168.5
37,0.0
48,1162.0
19,2768.629117
21,332796.5
25,1162326.40025
34,0.0
35,4484.43361963
35,0.0
20,4596.02468323
19,6269.0
19,4659.5
24,23467.5
24,0.0
35,2134.0
35,0.0
47,3793.5
30,25849.7467299
40,27505.3824798
3,164604.661684
15,0.0
20,116037.005748
26,15605.2559274
43,231363.029035
47,8298.5
23,59179.5
27,0.0
42,358042.389847
46,489724.0
17,0.0
41,274071.0
63,0.0
25,56789.5485037

5-Fold RMSE:,127613.832549,105746.081158,443642.531408,87144.1287291,87144.1287291
Average 5-Fold RMSE:,187387.42199

5-Fold rsquared:,-15.706029416,-0.0285553713329,-0.244345572372,-0.149866566493,-0.149866566493
Average 5-Fold rsquared:,-3.2527241497
