topology_numBifurcationPoints,rotError.numSamples.std
8,1692.08022859
9,3411.5
3,2886.681652
4,2356.0
6,168.5
3,0.0
15,1162.0
1,2768.629117
5,332796.5
5,1162326.40025
12,0.0
7,4484.43361963
20,0.0
3,4596.02468323
3,6269.0
4,4659.5
5,23467.5
5,0.0
11,2134.0
7,0.0
14,3793.5
3,25849.7467299
13,27505.3824798
0,164604.661684
3,0.0
2,116037.005748
5,15605.2559274
6,231363.029035
17,8298.5
5,59179.5
5,0.0
15,358042.389847
10,489724.0
3,0.0
12,274071.0
28,0.0
3,56789.5485037

5-Fold RMSE:,161234.35117,108840.233224,150483.276776,95146.9354222,95146.9354222
Average 5-Fold RMSE:,190026.633539

5-Fold rsquared:,-0.200608568056,-0.554273257357,-0.177167993121,-0.0190991025942,-0.0190991025942
Average 5-Fold rsquared:,-0.315593926499
