topology_numBifurcationPoints,transError.std.mean
8,0.79363175
9,0.9712675
3,0.660006
4,0.553814
6,0.679647
3,0.695845
15,0.6465805
1,0.64506525
5,8.99611
5,11.1858156667
12,4.032134
7,0.868578333333
20,0.980527
3,0.931125666667
3,0.68123
4,0.7183785
5,1.188382
5,1.285796
11,1.247364
7,2.102963
14,1.003049
3,1.010814
13,1.3055026
0,13.7854806667
3,8.904198
2,5.65513066667
5,1.8947556
6,2.71848344444
17,1.921542
5,2.705434
5,28.104709
15,2.8970098
10,11.9478155
3,4.520748
12,9.020481
28,2.112467
3,1.77265025

5-Fold RMSE:,2.46186175692,3.0721700735,3.97974323258,9.92711456692,9.92711456692
Average 5-Fold RMSE:,4.95189508939

5-Fold rsquared:,-41.9153135081,-0.201023718944,0.0429537514748,-0.220266073179,-0.220266073179
Average 5-Fold rsquared:,-16.6728661967
