topology_radius,rotError.mean.mean
4,0.033056
4,0.022922
2,0.0119034
3,0.024416
2,0.022984
3,0.026014
4,0.0385815
2,0.01411725
3,0.508538
4,0.427206333333
3,0.027683
4,0.021869
4,0.025594
3,0.011314
3,0.005875
2,0.008499
3,0.0364685
4,0.013377
3,0.025206
3,0.098742
3,0.0188725
2,0.0217106666667
4,0.0356654
1,0.710121333333
3,0.617859
2,0.347246
2,0.037768
3,0.0542597777778
3,0.2879235
3,0.0488165
4,0.811734
5,0.061975
4,0.422134
2,0.415324
4,0.1402775
5,0.058548
4,0.02715275

5-Fold RMSE:,0.248965779069,0.302147576887,0.133230716651,0.21212041463,0.21212041463
Average 5-Fold RMSE:,0.218301399602

5-Fold rsquared:,-105.87235238,-0.0339061408938,-1.18526155913,-1.87800165754,-1.87800165754
Average 5-Fold rsquared:,-21.8133656626
