topology_radius,rotError.numSamples.std
4,1692.08022859
4,3411.5
2,2886.681652
3,2356.0
2,168.5
3,0.0
4,1162.0
2,2768.629117
3,332796.5
4,1162326.40025
3,0.0
4,4484.43361963
4,0.0
3,4596.02468323
3,6269.0
2,4659.5
3,23467.5
4,0.0
3,2134.0
3,0.0
3,3793.5
2,25849.7467299
4,27505.3824798
1,164604.661684
3,0.0
2,116037.005748
2,15605.2559274
3,231363.029035
3,8298.5
3,59179.5
4,0.0
5,358042.389847
4,489724.0
2,0.0
4,274071.0
5,0.0
4,56789.5485037

5-Fold RMSE:,119868.912274,384711.563598,89007.6808866,129076.490044,129076.490044
Average 5-Fold RMSE:,180604.421768

5-Fold rsquared:,0.130987378005,-519.90153422,0.142079660185,-1.43463315723,-1.43463315723
Average 5-Fold rsquared:,-104.225174023
