topology_radius,transError.numSamples.std
4,1692.08022859
4,3411.5
2,2886.681652
3,2356.0
2,168.5
3,0.0
4,1162.0
2,2768.629117
3,332796.5
4,1162326.40025
3,0.0
4,4484.43361963
4,0.0
3,4596.02468323
3,6269.0
2,4659.5
3,23467.5
4,0.0
3,2134.0
3,0.0
3,3793.5
2,25849.7467299
4,27505.3824798
1,164604.661684
3,0.0
2,116037.005748
2,15605.2559274
3,231363.029035
3,8298.5
3,59179.5
4,0.0
5,358042.389847
4,489724.0
2,0.0
4,274071.0
5,0.0
4,56789.5485037

5-Fold RMSE:,143138.701938,382569.372511,131256.460465,111734.489761,111734.489761
Average 5-Fold RMSE:,192882.911156

5-Fold rsquared:,-0.0584984110027,0.141350278199,-7986.92147762,0.151340123686,0.151340123686
Average 5-Fold rsquared:,-1597.94942551
