voronoi_edges,rotError.mean.mean
253,0.033056
235,0.022922
255,0.0119034
170,0.024416
246,0.022984
232,0.026014
303,0.0385815
147,0.01411725
128,0.508538
263,0.427206333333
337,0.027683
253,0.021869
651,0.025594
166,0.011314
24,0.005875
159,0.008499
195,0.0364685
305,0.013377
295,0.025206
287,0.098742
229,0.0188725
279,0.0217106666667
315,0.0356654
297,0.710121333333
112,0.617859
155,0.347246
257,0.037768
449,0.0542597777778
285,0.2879235
321,0.0488165
193,0.811734
320,0.061975
437,0.422134
104,0.415324
264,0.1402775
562,0.058548
189,0.02715275

5-Fold RMSE:,0.161809844993,0.190179925616,0.328262887674,0.163277603363,0.163277603363
Average 5-Fold RMSE:,0.229264106452

5-Fold rsquared:,0.00776749107868,-2.52051254542,-0.0806581507935,-0.121051998076,-0.121051998076
Average 5-Fold rsquared:,-0.572594236947
