voronoi_numBifurcationPoints,rotError.std.mean
125,0.02798225
117,0.0320445
135,0.0178372
81,0.0199945
121,0.021598
111,0.036893
145,0.0359985
66,0.01772125
62,0.5246775
134,0.385748
126,0.088337
123,0.0298306666667
324,0.022416
82,0.014809
13,0.008167
68,0.012435
93,0.0413675
146,0.02285
148,0.028219
141,0.122708
93,0.020269
137,0.023071
155,0.0556182
145,0.805028666667
52,0.736744
58,0.348673666667
107,0.0636326
195,0.0959848888889
119,0.3574515
159,0.047268
94,0.997592
160,0.0586724
214,0.546293
49,0.668596
131,0.147273
268,0.059187
92,0.033395

5-Fold RMSE:,0.150139741754,0.301375129221,0.397530400123,0.182238222413,0.182238222413
Average 5-Fold RMSE:,0.258924789781

5-Fold rsquared:,-0.0915934058776,-9.9577869312,-0.137749841033,-0.884388927407,-0.884388927407
Average 5-Fold rsquared:,-2.20295224229
