voronoi_numBifurcationPoints,transError.mean.mean
125,0.77999825
117,0.737788
135,0.6111264
81,0.627088
121,0.895302
111,0.690067
145,0.6868825
66,0.7195855
62,6.0711005
134,7.747828
126,1.066061
123,0.880959666667
324,1.110731
82,0.992162
13,0.806277
68,0.960523
93,0.95364
146,1.467048
148,1.3147815
141,1.60563
93,1.28873
137,1.08620766667
155,0.873942
145,9.46907833333
52,5.437125
58,5.458101
107,1.9444218
195,2.43944244444
119,2.0359135
159,2.2091805
94,16.189822
160,2.9383338
214,7.8686635
49,3.155217
131,7.5462215
268,1.874993
92,1.3166405

5-Fold RMSE:,2.15901002513,2.90274247063,3.3532306323,2.19857742533,2.19857742533
Average 5-Fold RMSE:,3.22986715709

5-Fold rsquared:,-0.531685322177,-0.000335174777007,-0.0242931655066,-0.0106573881245,-0.0106573881245
Average 5-Fold rsquared:,-0.117437307974
