voronoi_numBifurcationPoints,transError.numSamples.mean
125,8627.0
117,15695.5
135,6140.2
81,4242.0
121,6332.5
111,6329.0
145,5863.0
66,6086.75
62,357218.5
134,830942.333333
126,36389.0
123,15490.3333333
324,13796.0
82,12714.3333333
13,7331.0
68,7723.5
93,25949.5
146,22338.0
148,24431.0
141,59670.0
93,13573.5
137,22022.0
155,32607.8
145,437301.0
52,151082.0
58,114100.666667
107,35666.8
195,122499.666667
119,19129.5
159,110106.5
94,1804313.0
160,225133.0
214,531998.0
49,242087.0
131,311884.0
268,65744.0
92,57460.5

5-Fold RMSE:,203289.994455,278710.262408,645462.514574,144696.968746,144696.968746
Average 5-Fold RMSE:,283846.081885

5-Fold rsquared:,-0.0583957557287,-0.0843261655044,-0.86335178972,-0.0290626284022,-0.0290626284022
Average 5-Fold rsquared:,-0.220561958149
