voronoi_radius,rotError.numSamples.mean
23,8627.0
18,15695.5
20,6140.2
18,4242.0
19,6332.5
18,6329.0
21,5863.0
9,6086.75
17,357218.5
16,830942.333333
16,36389.0
19,15490.3333333
27,13796.0
14,12714.3333333
4,7331.0
16,7723.5
16,25949.5
19,22338.0
15,24431.0
17,59670.0
19,13573.5
20,22022.0
20,32607.8
19,437301.0
16,151082.0
14,114100.666667
22,35666.8
40,122499.666667
21,19129.5
26,110106.5
14,1804313.0
20,225133.0
28,531998.0
12,242087.0
14,311884.0
23,65744.0
18,57460.5

5-Fold RMSE:,138403.200735,131163.208903,251743.098914,300029.567741,300029.567741
Average 5-Fold RMSE:,293204.249603

5-Fold rsquared:,-0.51606004054,-0.0467963289825,-2.07081315828,-0.269243417469,-0.269243417469
Average 5-Fold rsquared:,-0.62970693968
