x, y, Pearson, P-Value
log(numRooms),log(totalLength.mean),0.809170842402,8.3541154532e-05
log(numRooms),log(totalTime.mean),0.785542712959,0.000186244634284
sqrt(numRooms),log(totalLength.mean),0.777236543103,0.000241277631096
sqrt(numRooms),log(totalTime.mean),0.751002567065,0.000511755100997
log(numRooms),sqrt(totalLength.mean),0.748934887008,0.000540924424186
log(numRooms),sqrt(totalTime.mean),0.743291191542,0.000627653707494
log(numRooms),log(totalLength.std),0.739165020122,0.000698112208482
numRooms,log(totalLength.mean),0.736946838617,0.000738621146641
log(numRooms),sqrt(totalLength.std),0.726545120512,0.000955488957898
sqrt(numRooms),sqrt(totalLength.mean),0.726207038314,0.00096333512027
sqrt(numRooms),sqrt(totalLength.std),0.724417030259,0.00100576999731
numRooms,totalLength.std,0.721840461636,0.00106955257384
sqrt(numRooms),log(totalLength.std),0.720743960526,0.00109769052126
sqrt(numRooms),totalLength.std,0.716269393581,0.00121892717272
sqrt(numRooms),sqrt(totalTime.mean),0.715577980935,0.00123860861793
numRooms,sqrt(totalLength.std),0.715286957555,0.00124697069967
numRooms,log(totalTime.mean),0.708878295841,0.00144324982421
log(numRooms),totalLength.std,0.703585300891,0.00162391037101
numRooms,log(totalLength.std),0.695402814975,0.00193945062659
numRooms,sqrt(totalLength.mean),0.6943686969,0.00198267675653
log(numRooms),totalTime.mean,0.690193799076,0.00216529440421
sqrt(area),totalLength.mean,0.688199671279,0.00225725450886
area,totalLength.mean,0.683728674708,0.00247508269032
log(perimeter),sqrt(totalLength.mean),0.681277254408,0.00260161869872
numRooms,sqrt(totalTime.mean),0.679988356261,0.00267023668629
log(perimeter),log(totalLength.mean),0.671750629653,0.00314452587821
log(area),totalLength.mean,0.669097883508,0.00331108010385
sqrt(numRooms),totalTime.mean,0.668467942048,0.00335166702107
log(numRooms),totalLength.mean,0.667100806195,0.00344114381287
log(perimeter),totalLength.mean,0.666496595688,0.00348130219594
sqrt(area),sqrt(totalLength.mean),0.663410897631,0.00369237501271
sqrt(perimeter),sqrt(totalLength.mean),0.654573785499,0.00435498831551
area,sqrt(totalLength.mean),0.652623032211,0.00451348890956
log(area),sqrt(totalLength.mean),0.65113601926,0.00463741865903
sqrt(numRooms),totalLength.mean,0.651079489755,0.00464218364638
sqrt(perimeter),totalLength.mean,0.647360872187,0.0049644461673
sqrt(perimeter),log(totalLength.mean),0.639111547047,0.00574406231935
numRooms,totalTime.mean,0.638765891775,0.00577876235322
numRooms,totalLength.mean,0.625779845422,0.00721001884547
log(perimeter),sqrt(totalTime.mean),0.622049957306,0.00766974779591
sqrt(area),totalTime.mean,0.621333804938,0.00776064497572
log(perimeter),log(totalTime.mean),0.62016141639,0.00791130970769
log(area),totalTime.mean,0.618921928348,0.0080731339191
perimeter,sqrt(totalLength.mean),0.616802204438,0.00835600768036
perimeter,totalLength.mean,0.616701043448,0.00836970291458
log(perimeter),totalTime.mean,0.61434535148,0.00869372528522
sqrt(area),log(totalLength.mean),0.613862051397,0.00876142447232
avgRoomPerimeter,log(totalTime.std),-0.610487367357,0.0092459574765
log(area),log(totalLength.mean),0.605867626377,0.00994365261517
log(numRooms),log(totalTime.std),0.605248171577,0.0100403073644
area,totalTime.mean,0.60465085705,0.0101342142442
log(numRooms),sqrt(totalTime.std),0.600988355931,0.0107254049906
area,log(totalLength.mean),0.599465472634,0.0109791468603
perimeter,log(totalLength.mean),0.595760779623,0.011616354454
log(area),sqrt(totalTime.mean),0.594939949551,0.0117614273466
sqrt(area),sqrt(totalTime.mean),0.593178566844,0.0120775810831
log(perimeter),sqrt(totalLength.std),0.591238755958,0.0124335120529
sqrt(numRooms),sqrt(totalTime.std),0.589942594588,0.0126759328522
log(perimeter),log(totalLength.std),0.587830567378,0.0130789417559
sqrt(perimeter),sqrt(totalTime.mean),0.586893927988,0.0132608780118
sqrt(perimeter),totalTime.mean,0.584222659019,0.0137907602283
sqrt(perimeter),log(totalTime.mean),0.581274925319,0.0143947336093
numRooms,sqrt(totalTime.std),0.577367195398,0.0152273400039
sqrt(numRooms),log(totalTime.std),0.576155277535,0.0154931138284
area,sqrt(totalTime.mean),0.572892658157,0.0162267726805
log(perimeter),totalLength.std,0.57287308189,0.0162312556374
log(area),log(totalTime.mean),0.559281880219,0.0195866502004
sqrt(area),log(totalTime.mean),0.555846218062,0.0205149864363
sqrt(perimeter),sqrt(totalLength.std),0.552715257342,0.021390542485
perimeter,totalTime.mean,0.546078257696,0.0233426355776
sqrt(perimeter),log(totalLength.std),0.544881712953,0.0237088117344
perimeter,sqrt(totalTime.mean),0.544056935534,0.0239638000726
numRooms,log(totalTime.std),0.543318678745,0.024193838796
log(area),totalLength.std,0.540875003843,0.0249675122474
sqrt(perimeter),totalLength.std,0.538061917949,0.0258817120769
perimeter,log(totalTime.mean),0.534780565499,0.0269805605537
area,log(totalTime.mean),0.534250033064,0.0271615541298
sqrt(area),totalLength.std,0.524120006152,0.0308006231354
numRooms,totalTime.std,0.523274270813,0.0311205641886
sqrt(numRooms),totalTime.std,0.521755655797,0.0317014509687
log(numRooms),totalTime.std,0.520479779752,0.0321958848906
sqrt(avgRoomPerimeter),log(totalTime.std),-0.519235809097,0.0326836243585
log(area),sqrt(totalLength.std),0.510169664001,0.0364112522566
perimeter,sqrt(totalLength.std),0.50835084751,0.0371965684524
perimeter,totalLength.std,0.496905599775,0.0424380306412
perimeter,log(totalLength.std),0.496889090715,0.0424459737629
area,totalLength.std,0.493164312097,0.0442670462223
sqrt(area),sqrt(totalLength.std),0.492228987304,0.0447334599151
area,sqrt(totalLength.std),0.461902298861,0.0619604760764
log(area),log(totalLength.std),0.461806808765,0.0620214909955
log(perimeter),sqrt(totalTime.std),0.452923925289,0.0678942917078
avgRoomArea,log(totalTime.std),-0.444899970652,0.0735421574666
sqrt(area),log(totalLength.std),0.444845447273,0.0735816740719
log(area),totalTime.std,0.428862387421,0.0858490034963
log(avgRoomPerimeter),log(totalTime.std),-0.428352116376,0.0862635402609
sqrt(perimeter),sqrt(totalTime.std),0.418223771386,0.0947939356785
area,log(totalLength.std),0.417030194425,0.0958376091616
log(perimeter),log(totalTime.std),0.412807677749,0.0995958974296
sqrt(area),totalTime.std,0.407157486931,0.104787933556
log(area),sqrt(totalTime.std),0.404940872196,0.106876393293
sqrt(avgRoomArea),log(totalTime.std),-0.401946011343,0.109744760908
log(perimeter),totalTime.std,0.396530051762,0.115069499859
sqrt(area),sqrt(totalTime.std),0.393894202421,0.117725676368
avgRoomWallRatio,sqrt(totalLength.std),-0.387574502152,0.124268885998
sqrt(perimeter),log(totalTime.std),0.385970216552,0.12596951655
perimeter,sqrt(totalTime.std),0.379892658951,0.132559167151
area,totalTime.std,0.371707316351,0.141806542213
