x, y, Pearson, P-Value
log(totalTime),log(transError.mean.mean),0.782482842128,0.000205142797035
log(totalLength),log(transError.mean.mean),0.779038411208,0.000228311008577
sqrt(totalTime),log(transError.mean.mean),0.752242631512,0.000494897331967
sqrt(totalLength),log(transError.mean.mean),0.733090944725,0.000813669792393
log(totalTime),sqrt(transError.mean.mean),0.73257671442,0.000824138944794
log(totalLength),sqrt(transError.mean.mean),0.729070299275,0.000898538894215
sqrt(totalTime),sqrt(transError.mean.mean),0.707889756321,0.00147567114826
totalTime,log(transError.mean.mean),0.707009253131,0.00150505129555
sqrt(totalLength),sqrt(transError.mean.mean),0.689808436233,0.00218282228856
log(totalTime),transError.mean.mean,0.672409224703,0.00310425088525
totalTime,sqrt(transError.mean.mean),0.668272998229,0.00336430883411
log(totalLength),transError.mean.mean,0.668259447146,0.0033651890407
totalLength,log(transError.mean.mean),0.660354827692,0.0039115470004
sqrt(totalTime),transError.mean.mean,0.653274428481,0.00446005168002
sqrt(totalLength),transError.mean.mean,0.635490751029,0.00611600547349
totalLength,sqrt(transError.mean.mean),0.623401952951,0.00750047156185
totalTime,transError.mean.mean,0.619632832492,0.00797999965309
log(totalTime),log(rotError.numSamples.mean),0.61834275757,0.00814965104369
log(totalTime),log(transError.numSamples.mean),0.61834275757,0.00814965104369
log(totalLength),log(rotError.numSamples.mean),0.603665225277,0.0102906974596
log(totalLength),log(transError.numSamples.mean),0.603665225277,0.0102906974596
totalLength,transError.mean.mean,0.575885385719,0.0155527949693
log(totalTime),log(transError.std.mean),0.573428876028,0.0161043567735
sqrt(totalTime),log(rotError.numSamples.mean),0.572550821062,0.0163051931819
sqrt(totalTime),log(transError.numSamples.mean),0.572550821062,0.0163051931819
sqrt(totalTime),log(transError.std.mean),0.56521561412,0.0180608958874
log(totalTime),log(rotError.numSamples.std),0.564427874722,0.01825790877
log(totalTime),log(transError.numSamples.std),0.564427874722,0.01825790877
log(totalTime),sqrt(transError.std.mean),0.55162114624,0.0217032691179
totalTime,log(transError.std.mean),0.55135442113,0.0217800430734
log(totalLength),log(rotError.numSamples.std),0.54896985403,0.0224758438815
log(totalLength),log(transError.numSamples.std),0.54896985403,0.0224758438815
sqrt(totalTime),sqrt(transError.std.mean),0.545218924546,0.0236051676847
log(totalLength),log(transError.std.mean),0.542951148716,0.0243089964782
sqrt(totalLength),log(rotError.numSamples.mean),0.541147430164,0.0248803249723
sqrt(totalLength),log(transError.numSamples.mean),0.541147430164,0.0248803249723
sqrt(totalLength),log(transError.std.mean),0.535365186851,0.0267821941722
totalTime,sqrt(transError.std.mean),0.534241666856,0.0271644157858
sqrt(totalTime),log(rotError.numSamples.std),0.528035417783,0.0293522155095
sqrt(totalTime),log(transError.numSamples.std),0.528035417783,0.0293522155095
log(totalTime),transError.std.mean,0.525528838189,0.0302732782578
log(totalLength),sqrt(transError.std.mean),0.523310847466,0.0311066747118
sqrt(totalTime),transError.std.mean,0.521171046403,0.0319272735998
log(totalLength),rotError.std.mean,-0.519334350037,0.0326447830208
sqrt(totalLength),sqrt(transError.std.mean),0.518081059968,0.0331414280669
totalTime,log(rotError.numSamples.mean),0.516752021613,0.0336743874481
totalTime,log(transError.numSamples.mean),0.516752021613,0.0336743874481
totalLength,log(transError.std.mean),0.514270195123,0.0346871537536
totalTime,transError.std.mean,0.5133001409,0.0350892690513
log(totalLength),sqrt(rotError.std.mean),-0.509687784369,0.0366180727568
totalLength,sqrt(transError.std.mean),0.501216778661,0.0404019709245
log(totalLength),transError.std.mean,0.499662933321,0.0411270811509
sqrt(totalLength),log(rotError.numSamples.std),0.498402137483,0.0417226509146
sqrt(totalLength),log(transError.numSamples.std),0.498402137483,0.0417226509146
sqrt(totalLength),transError.std.mean,0.49718329185,0.0423045911739
totalLength,transError.std.mean,0.48487646228,0.0485301337297
log(totalLength),log(rotError.std.mean),-0.483800067601,0.0491056542292
totalTime,log(rotError.numSamples.std),0.483454686255,0.0492914021909
totalTime,log(transError.numSamples.std),0.483454686255,0.0492914021909
log(totalTime),rotError.std.mean,-0.479089283793,0.0516848552616
log(totalTime),sqrt(rotError.std.mean),-0.470999962011,0.0563486325001
log(totalTime),log(transError.mean.std),0.470194478584,0.0568296152897
sqrt(totalLength),rotError.std.mean,-0.470159368191,0.0568506502428
log(totalLength),log(transError.mean.std),0.469473676141,0.0572626175398
sqrt(totalLength),sqrt(rotError.std.mean),-0.459920421577,0.0632359692878
totalLength,log(rotError.numSamples.mean),0.459786864651,0.0633226164232
totalLength,log(transError.numSamples.mean),0.459786864651,0.0633226164232
sqrt(totalTime),rotError.std.mean,-0.455421929117,0.0662030267528
log(totalTime),log(rotError.std.mean),-0.446700620436,0.0722458185011
sqrt(totalTime),log(transError.mean.std),0.445310079036,0.0732454231072
sqrt(totalTime),sqrt(rotError.std.mean),-0.44415473474,0.0740836241605
sqrt(totalLength),log(rotError.std.mean),-0.436393656094,0.0798971162679
sqrt(totalLength),log(transError.mean.std),0.432431580243,0.0829896355824
totalLength,log(rotError.numSamples.std),0.432297722661,0.0830956086354
totalLength,log(transError.numSamples.std),0.432297722661,0.0830956086354
totalTime,rotError.std.mean,-0.419767358744,0.0934563301195
sqrt(totalTime),log(rotError.std.mean),-0.418305888543,0.0947224327307
totalTime,log(transError.mean.std),0.412353415505,0.100006394013
totalTime,sqrt(rotError.std.mean),-0.405373833413,0.10646616301
totalLength,rotError.std.mean,-0.404939717167,0.106877489179
totalLength,sqrt(rotError.std.mean),-0.393543485136,0.118082316377
totalLength,log(transError.mean.std),0.381199615208,0.131122343297
totalTime,log(rotError.std.mean),-0.37817804522,0.134460659384
log(totalTime),sqrt(transError.mean.std),0.373158335483,0.140135798177
totalLength,log(rotError.std.mean),-0.371836394438,0.141657365646
log(totalLength),sqrt(transError.mean.std),0.368716844526,0.145292949225
log(totalTime),sqrt(rotError.numSamples.mean),0.36522267803,0.149440489429
log(totalTime),sqrt(transError.numSamples.mean),0.36522267803,0.149440489429
log(totalLength),sqrt(rotError.numSamples.mean),0.352754130966,0.164897503535
log(totalLength),sqrt(transError.numSamples.mean),0.352754130966,0.164897503535
sqrt(totalTime),sqrt(transError.mean.std),0.349327775202,0.169326901369
totalLength,log(transError.std.std),0.338667098509,0.183616757235
sqrt(totalLength),sqrt(transError.mean.std),0.332741711221,0.191895025036
totalLength,sqrt(transError.std.std),0.327955182799,0.198758884691
sqrt(totalTime),sqrt(rotError.numSamples.mean),0.324197381162,0.204258760686
sqrt(totalTime),sqrt(transError.numSamples.mean),0.324197381162,0.204258760686
totalTime,sqrt(transError.mean.std),0.319100158268,0.21187600033
sqrt(totalLength),log(transError.std.std),0.309572670929,0.22660084129
totalLength,transError.std.std,0.308464616963,0.228354692706
totalTime,log(transError.std.std),0.307288325075,0.230226000177
sqrt(totalLength),sqrt(transError.std.std),0.303014181453,0.237107527036
totalTime,sqrt(transError.std.std),0.301344878978,0.239830119228
sqrt(totalLength),sqrt(rotError.numSamples.mean),0.294953872262,0.250435436492
sqrt(totalLength),sqrt(transError.numSamples.mean),0.294953872262,0.250435436492
sqrt(totalLength),transError.std.std,0.288250466446,0.261869154486
sqrt(totalTime),log(transError.std.std),0.286752394495,0.264467767513
totalTime,transError.std.std,0.286611606897,0.264712798402
sqrt(totalTime),sqrt(transError.std.std),0.285310600021,0.266983737224
totalLength,sqrt(transError.mean.std),0.285203753165,0.267170772488
log(totalTime),transError.mean.std,0.280329517512,0.275788880733
totalTime,sqrt(rotError.numSamples.mean),0.277119230548,0.281556608369
totalTime,sqrt(transError.numSamples.mean),0.277119230548,0.281556608369
sqrt(totalTime),transError.std.std,0.275277178022,0.284898946004
log(totalLength),sqrt(transError.std.std),0.272920025914,0.289210805584
log(totalLength),transError.mean.std,0.271983708015,0.290934444109
log(totalLength),log(transError.std.std),0.271823700982,0.291229613762
log(totalTime),sqrt(transError.std.std),0.268106722381,0.298137136809
log(totalLength),transError.std.std,0.266152327105,0.301808087684
log(totalTime),transError.std.std,0.264550345891,0.304837095752
log(totalTime),log(transError.std.std),0.263107105812,0.307581368996
log(totalLength),log(rotError.std.std),-0.258662423195,0.316124393316
sqrt(totalTime),transError.mean.std,0.258252644165,0.31691897281
log(totalTime),sqrt(rotError.numSamples.std),0.257999429798,0.317410552509
log(totalTime),sqrt(transError.numSamples.std),0.257999429798,0.317410552509
log(totalLength),sqrt(rotError.numSamples.std),0.248005257668,0.337169130492
log(totalLength),sqrt(transError.numSamples.std),0.248005257668,0.337169130492
sqrt(totalLength),transError.mean.std,0.237943858897,0.357757689374
log(totalTime),log(rotError.std.std),-0.232351965925,0.369499514914
totalTime,transError.mean.std,0.231273057983,0.371789401782
totalLength,sqrt(rotError.numSamples.mean),0.227250885019,0.380395275768
totalLength,sqrt(transError.numSamples.mean),0.227250885019,0.380395275768
log(totalLength),sqrt(rotError.std.std),-0.227246718644,0.380404246567
sqrt(totalTime),sqrt(rotError.numSamples.std),0.22203074108,0.391726016065
sqrt(totalTime),sqrt(transError.numSamples.std),0.22203074108,0.391726016065
sqrt(totalLength),log(rotError.std.std),-0.213745448031,0.410080781161
sqrt(totalTime),log(rotError.std.std),-0.201953649859,0.436974382503
sqrt(totalLength),sqrt(rotError.numSamples.std),0.19825321345,0.445597121398
sqrt(totalLength),sqrt(transError.numSamples.std),0.19825321345,0.445597121398
log(totalTime),sqrt(rotError.std.std),-0.197660329786,0.446986674732
totalLength,transError.mean.std,0.195039190075,0.453156261973
log(totalTime),rotError.numSamples.mean,0.194308338238,0.454884166268
log(totalTime),transError.numSamples.mean,0.194308338238,0.454884166268
log(totalLength),rotError.std.std,-0.192429340928,0.459341769637
log(totalTime),rotError.mean.std,0.18753460991,0.471055793523
sqrt(totalLength),sqrt(rotError.std.std),-0.184209069612,0.479097752067
log(totalLength),rotError.numSamples.mean,0.183738900731,0.480240121828
log(totalLength),transError.numSamples.mean,0.183738900731,0.480240121828
totalTime,sqrt(rotError.numSamples.std),0.182746593909,0.482655488904
totalTime,sqrt(transError.numSamples.std),0.182746593909,0.482655488904
log(totalLength),rotError.mean.std,0.17678501038,0.497289987271
sqrt(totalTime),rotError.mean.std,0.170436862416,0.513102467633
sqrt(totalTime),sqrt(rotError.std.std),-0.170003685422,0.514189934363
totalTime,log(rotError.std.std),-0.168153875666,0.518845826049
totalLength,log(rotError.std.std),-0.166031096049,0.52421268635
log(totalTime),sqrt(rotError.mean.std),0.16320859637,0.531387812796
log(totalTime),rotError.std.std,-0.159334042335,0.54130938979
sqrt(totalTime),rotError.numSamples.mean,0.155373137527,0.551536873766
sqrt(totalTime),transError.numSamples.mean,0.155373137527,0.551536873766
sqrt(totalLength),rotError.std.std,-0.153238205159,0.557084519382
sqrt(totalTime),sqrt(rotError.mean.std),0.152930265147,0.557886708978
sqrt(totalLength),rotError.mean.std,0.151162683118,0.562501001524
totalTime,rotError.mean.std,0.147434844052,0.57228626347
log(totalLength),sqrt(rotError.mean.std),0.146191477142,0.57556601626
totalLength,sqrt(rotError.numSamples.std),0.14340397903,0.582947613906
totalLength,sqrt(transError.numSamples.std),0.14340397903,0.582947613906
totalLength,sqrt(rotError.std.std),-0.142388032646,0.585647745318
totalTime,sqrt(rotError.std.std),-0.140916112241,0.589568936938
totalTime,sqrt(rotError.mean.std),0.136460417473,0.601504374392
sqrt(totalTime),rotError.std.std,-0.135387179737,0.604393767111
totalLength,log(rotError.mean.mean),-0.131370296655,0.615257210018
log(totalTime),rotError.mean.mean,0.131219868843,0.615665523842
sqrt(totalLength),rotError.numSamples.mean,0.13032537744,0.618095685864
sqrt(totalLength),transError.numSamples.mean,0.13032537744,0.618095685864
sqrt(totalLength),sqrt(rotError.mean.std),0.129733399207,0.619706040523
log(totalTime),rotError.numSamples.std,0.125080697069,0.632419235203
log(totalTime),transError.numSamples.std,0.125080697069,0.632419235203
totalLength,rotError.std.std,-0.118544268634,0.650444585488
log(totalLength),rotError.numSamples.std,0.116861192518,0.655116276115
log(totalLength),transError.numSamples.std,0.116861192518,0.655116276115
totalLength,rotError.mean.std,0.114522737992,0.661627187732
totalTime,rotError.numSamples.mean,0.113851218314,0.663501156449
totalTime,transError.numSamples.mean,0.113851218314,0.663501156449
totalTime,rotError.std.std,-0.111615949463,0.669752531891
sqrt(totalTime),rotError.mean.mean,0.103658567183,0.692171379339
totalLength,sqrt(rotError.mean.std),0.10134775121,0.698728301606
log(totalTime),log(rotError.mean.std),0.0965683653813,0.712353406365
sqrt(totalTime),log(rotError.mean.std),0.0958829078638,0.714314385833
totalTime,log(rotError.mean.std),0.0898062590182,0.731771387898
log(totalTime),sqrt(rotError.mean.mean),0.0878241065661,0.737493194378
sqrt(totalTime),rotError.numSamples.std,0.0852325335829,0.744993857585
sqrt(totalTime),transError.numSamples.std,0.0852325335829,0.744993857585
log(totalLength),rotError.mean.mean,0.0799930625503,0.760223935907
sqrt(totalLength),log(rotError.mean.mean),-0.0739385516974,0.777927137591
totalLength,rotError.numSamples.mean,0.0737882335348,0.778368018013
totalLength,transError.numSamples.mean,0.0737882335348,0.778368018013
totalTime,rotError.mean.mean,0.0711044242406,0.786250224944
totalLength,sqrt(rotError.mean.mean),-0.0699430770441,0.789667181701
log(totalLength),log(rotError.mean.std),0.069786519679,0.790128089063
sqrt(totalLength),log(rotError.mean.std),0.0662699552502,0.800497981892
sqrt(totalLength),rotError.numSamples.std,0.0642588177923,0.80644287312
sqrt(totalLength),transError.numSamples.std,0.0642588177923,0.80644287312
sqrt(totalTime),sqrt(rotError.mean.mean),0.0559651324205,0.831061612762
totalLength,log(rotError.mean.std),0.0522788696525,0.842053062584
totalTime,rotError.numSamples.std,0.0446604605518,0.864854595434
totalTime,transError.numSamples.std,0.0446604605518,0.864854595434
totalTime,log(rotError.mean.mean),-0.0389047580798,0.882149212503
log(totalTime),log(rotError.mean.mean),0.0376543806833,0.885913250626
sqrt(totalLength),rotError.mean.mean,0.0368640306968,0.888293653466
log(totalLength),sqrt(rotError.mean.mean),0.0321302332768,0.90256930136
log(totalLength),log(rotError.mean.mean),-0.0217002689205,0.934116765535
totalTime,sqrt(rotError.mean.mean),0.019527691621,0.940701330723
sqrt(totalLength),sqrt(rotError.mean.mean),-0.0155104300778,0.952885967037
totalLength,rotError.mean.mean,-0.0144693585486,0.956045324212
totalLength,rotError.numSamples.std,0.0120206173957,0.963478920794
totalLength,transError.numSamples.std,0.0120206173957,0.963478920794
sqrt(totalTime),log(rotError.mean.mean),0.00143674525365,0.995633528681
